
Exported from Grasshopper on 08/17/2023 15:40:30 with FabTools (by blickfeld7.com)


Radius;
0.891007;
0.895398;
0.907787;
0.926018;
0.947073;
0.967669;
0.984793;
0.99607;
0.995231;
0.994339;
0.993404;
0.992435;
0.991443;
0.990439;
0.989435;
0.98844;
0.987466;
0.986524;
0.985624;
0.984776;
0.98399;
0.983274;
0.982636;
0.982084;
0.981624;
0.98126;
0.980997;
0.980838;
0.980785;
0.980838;
0.980997;
0.98126;
0.981624;
0.982084;
0.982636;
0.983274;
0.98399;
0.984776;
0.985624;
0.986524;
0.987466;
0.98844;
0.989435;
0.990439;
0.991443;
0.992435;
0.993404;
0.994339;
0.995231;
0.99607;
0.984793;
0.967669;
0.947073;
0.926018;
0.907787;
0.895398;
0.891007;
0.895398;
0.907787;
0.926018;
0.947073;
0.967669;
0.984793;
0.99607;
0.995231;
0.994339;
0.993404;
0.992435;
0.991443;
0.990439;
0.989435;
0.98844;
0.987466;
0.986524;
0.985624;
0.984776;
0.98399;
0.983274;
0.982636;
0.982084;
0.981624;
0.98126;
0.980997;
0.980838;
0.980785;
0.980838;
0.980997;
0.98126;
0.981624;
0.982084;
0.982636;
0.983274;
0.98399;
0.984776;
0.985624;
0.986524;
0.987466;
0.98844;
0.989435;
0.990439;
0.991443;
0.992435;
0.993404;
0.994339;
0.995231;
0.99607;
0.984793;
0.967669;
0.947073;
0.926018;
0.907787;
0.895398;
0.891007;
