
Exported from Grasshopper on 08/09/2023 11:59:05 with FabTools (by blickfeld7.com)


Phi;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
