
Exported from Grasshopper on 08/03/2023 14:16:57 with FabTools (by blickfeld7.com)


Phi;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
