
Exported from Grasshopper on 07/31/2023 15:04:14 with FabTools (by blickfeld7.com)


Phi;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
