
Exported from Grasshopper on 08/09/2023 16:57:18 with FabTools (by blickfeld7.com)


Phi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
Pi;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
0;
